date,item_name,category,quantity,sales_amount,cost,profit,cost_per_unit
2025-02-06,Pen,Writing,5,42.42,29.59,12.84,5.92
2025-02-06,Notebook,Books,2,84.44,69.36,15.08,34.68
2025-02-06,Stapler,Accessories,2,386.81,261.08,125.73,130.54
2025-02-06,Tape,Accessories,4,122.25,94.67,27.58,23.67
2025-02-06,Folder,Storage,4,138.87,102.31,36.57,25.58
2025-02-06,Paper Pack,Paper,4,1005.2,791.6,213.6,197.9
2025-02-06,Highlighter,Writing,3,70.58,47.21,23.37,15.74
2025-02-07,Pen,Writing,5,50.28,40.19,10.09,8.04
2025-02-07,Notebook,Books,4,319.06,233.06,86.0,58.27
2025-02-07,Marker,Writing,2,46.28,32.93,13.35,16.47
2025-02-07,Pencil,Writing,4,26.51,21.9,4.61,5.48
2025-02-07,Stapler,Accessories,4,552.28,407.28,145.0,101.82
2025-02-07,Tape,Accessories,5,282.15,196.96,85.19,39.39
2025-02-07,Highlighter,Writing,4,55.43,42.71,12.71,10.68
2025-02-08,Pen,Writing,2,21.19,15.4,5.79,7.7
2025-02-08,Pencil,Writing,5,42.85,35.05,7.79,7.01
2025-02-08,Tape,Accessories,3,101.67,71.93,29.74,23.98
2025-02-09,Pencil,Writing,1,4.29,3.32,0.97,3.32
2025-02-09,Eraser,Writing,3,14.52,11.32,3.2,3.77
2025-02-09,Stapler,Accessories,3,374.87,265.11,109.75,88.37
2025-02-09,Folder,Storage,3,151.69,114.2,37.49,38.07
2025-02-09,Paper Pack,Paper,5,999.75,680.69,319.06,136.14
2025-02-09,Highlighter,Writing,5,129.77,88.14,41.63,17.63
2025-02-10,Pen,Writing,5,48.54,38.5,10.04,7.7
2025-02-10,Marker,Writing,3,77.28,52.25,25.03,17.42
2025-02-10,Folder,Storage,3,122.83,99.33,23.5,33.11
2025-02-10,Paper Pack,Paper,1,197.67,141.77,55.9,141.77
2025-02-10,Highlighter,Writing,5,137.7,114.55,23.15,22.91
2025-02-11,Pen,Writing,1,10.45,7.42,3.03,7.42
